indicator_id,name,measure,how_calculated,source_list
459,Asthma Emergency Department Visits (Children 0 to 4 Yrs Old),Number,"<p>Number of asthma-related emergency department (ED) visits among NYC resident children up to 4 years old.</p>
<p>&nbsp;</p>
<p>ED visits include both patients who are treated and released in the ED&nbsp;(outpatients) and who are admitted as inpatients through the emergency&nbsp;department.</p>
<p>&nbsp;</p>
<p>An ED visit is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015. Because the ICD systems are similar in how they classify childhood asthma, data can be compared across years.</p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
466,Adults Reporting Heavy Drinking,Number,"Estimated number of adult males who reported having more  than 2 alcoholic beverages per day and adult woman having more than 1 drink per day, rounded to the nearest 1,000. Adults are age 18 years and older. 

",New York City Community Health Survey (CHS)
298,Adults without a Smoke-Free Home Policy,Number,"Estimated number of adults without a policy that prohibits smoking anywhere in the home, rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
306,Cigarette Smoking among Adults,Number,"Estimated number of adults who report current, active smoking, rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
310,Cigarette Smoking among Youths,Number,"Estimated number of high school students who smoked cigarettes on one or more of the past 30 days, rounded to the nearest 1,000.",New York City Youth Risk Behavioral Survey
308,Adults Reporting Secondhand Smoke at Work,Number,"<p>Estimated number of adults exposed to second-hand smoke at work, rounded to the nearest 1,000.</p>
<p>&nbsp;</p>
<p>Adults who are exposed to second-hand smoke all or most of the time at work are considered to be exposed to second-hand smoke at work.</p>",New York City Community Health Survey (CHS)
397,Adults Reporting Bed Bugs in their Home,Number,"Estimated number of adults reporting a problem with bed bugs that required an exterminator, in the past 12 months, rounded to the nearest 1,000",New York City Community Health Survey (CHS)
242,Carbon Monoxide Deaths (Other Causes),Number,"Count of deaths with ICD10 code of T58 as a contributing cause, with underlying cause of death in the range of V01-W99 or X10-X59 or Y85-Y86.",New York City Bureau of Vital Statistics
243,Carbon Monoxide Deaths (Unknown Cause),Number,"Count of deaths with ICD10 code of T58 as a contributing cause, with underlying cause of death in the range of Y10-Y34.",New York City Bureau of Vital Statistics
631,Homes with Cockroaches,Number,Estimated number of households that reported seeing at least one cockroach daily over the last month.,New York City Housing and Vacancy Survey (HVS)
233,Poverty,Number,"<p>Estimated number of people for whom poverty status is determined, whose annual income falls below 100% of the federal poverty level.</p>",American Community Survey
241,Carbon Monoxide Deaths (Fire-Related),Number,"Count of deaths with ICD10 code of T58 as a contributing cause, with underlying cause of death in the range of X00-X09 (unintentional, fire-related causes).",New York City Bureau of Vital Statistics
164,Carbon Monoxide Hospitalizations (Other Causes),Number,"Number of NYC resident hospitalizations containing ICD-9 diagnosis code for carbon monoxide poisoning, 986, or any of the following: E868.2, E868.3, E868.8, E868.9. Must not have any fire-related injury code E890.0-E899.9, nor any intentional injury code E950.0-E969.  Acceptable injury codes in range: E800.0-E888.9, E900.0-E909.9.",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
167,Carbon Monoxide Hospitalizations (Unknown Cause),Number,"Number of NYC resident hospitalizations containing ICD-9 diagnosis code for carbon monoxide poisoning, 986, or either of the following codes for unknown reason E982.0, or E982.1. Must not have any fire-related injury code E890.0-E899.9, nor any intentional injury code E950.0-E969.  Includes 986 without any E-code.",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
161,"Carbon Monoxide Hospitalizations (Fire-Related) ",Number,"Number of NYC resident hospitalizations containing ICD-9 diagnosis code for carbon monoxide poisoning, 986, or any of the following: E868.2, E868.3, E868.8, E868.9. Must also have an unintentional fire-related injury code within E890.0-E899.9.  Cannot have any intentional injury code E950.0-E969.   ",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
240,Homes in 1 or 2 Family Buildings,Number,Number of residential units in one or two family homes as identified by NYC Department of City Planning.,New York City Primary Land Use Tax Lot Output (PLUTO™ ) Property Characteristic Data
154,Asthma Hospitalizations (Children 0 to 4 Yrs Old),Number,"<p>Number of asthma-related hospitalizations among NYC resident children up to 4 years old.</p>
<p>&nbsp;</p>
<p>A hospitalization is included if it has an ICD-9 principal diagnosis code of 493 or an ICD-10 principal diagnosis code of J45. New York hospitals began using the ICD-10 system on October 1, 2015. Because the ICD systems are similar in how they classify childhood asthma, data can be compared across years.</p>
<p>&nbsp;</p>",New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data
148,Carbon Monoxide Exposures,Number,Number of calls to the NYC Poison Control Center for reported unintentional human exposure to carbon monoxide.,New York City Poison Control Center (PCC) Call Database
87,Homes near Structures Rated Good or Excellent,Number,Estimated number of households that rated their neighborhood structures as good or excellent.,New York City Housing and Vacancy Survey (HVS)
89,Homes Using Supplemental Heat,Number,Estimated number of households that needed to use a secondary source of heat in addition to their primary source.,New York City Housing and Vacancy Survey (HVS)
93,Homes with Mice or Rats in the Building,Number,Estimated number of households that reported mice or rats in their building in the past 90 days.,New York City Housing and Vacancy Survey (HVS)
72,"Carbon Monoxide Incidents ",Number,Number of carbon monoxide incidents where FDNY measured at least 1 ppm at the scene.,Fire Department of New York City (FDNY) Carbon Monoxide Incidents
75,Homes with Cracks or Holes,Number,Estimated number of households that reported cracks or holes in the home.,New York City Housing and Vacancy Survey (HVS)
77,Pre-1960 Homes with Peeling Paint,Number,Estimated number of households in an area that were built before 1960 and had peeling paint.,New York City Housing and Vacancy Survey (HVS)
79,Homes with Leaks,Number,Estimated number of households that reported leaks coming from outside the unit.,New York City Housing and Vacancy Survey (HVS)
85,Homes with 3 or More Maintenance Deficiencies,Number,"Estimated number of households reporting three or more maintenance deficiencies (heating equipment breakdown, additional heating required, rodent infestation, cracks/holes in the walls, ceilings or floors, broken plaster/peeling paint larger than 8½ x 11 inches, toilet breakdowns, or water leaks from outside the unit).",New York City Housing and Vacancy Survey (HVS)
15,Postneonatal Death,Number,"<p>Number of deaths occurring from 28 days to less than 1 year of age in an area. Deaths are restricted to those that can be linked to a birth certificate of a NYC resident mother and are mapped to the mother's usual residence at birth. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
9,Infant Death,Number,"<p>Number of deaths occurring at less than 1 year of age. Infant deaths are restricted to those that can be linked to a birth certificate of a NYC resident mother and are mapped to the mother's usual residence at birth. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
231,Foreign-Born,Number,Estimated number of people born outside the US or its territories  including Puerto Rico.,American Community Survey
230,Crowding (> 1 person/room),Number,<p>Estimated number of housing units with more than 1 occupant per room.</p>,American Community Survey
26,Pre-1950 Homes,Number,Number of housing units built before 1950.,United States Census
232,Owner-Occupied Homes,Number,"Estimated number of housing units occupied by the owner.    ",American Community Survey
30,Adults with Asthma in the Past 12 Months,Number,"Estimated number of adults aged 18 years and older who reported medically diagnosed asthma and symptoms in the last 12 months, rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
40,Adults Reporting Cockroaches in the Home,Number,"Estimated number of respondents in an area that reported cockroaches in the past 30 days, rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
44,Adults Reporting Rats or Mice outside Their Building,Number,"Estimated number of adults reporting mice or rats outside their building in the past 90 days, rounded to the nearest 1,000.",New York City Community Health Survey (CHS)
46,Adults Reporting Secondhand Smoke at Home,Number,"<p>Estimated number of adults exposed to second-hand smoke at home, rounded to the nearest 1,000.</p>
<p>&nbsp;</p>
<p><span>Adults who are exposed to second-hand smoke all or most of the time in their homes are considered to be exposed to second-hand smoke at home.&nbsp;</span></p>",New York City Community Health Survey (CHS)
13,Perinatal Death,Number,"<p>Number of fetal deaths occurring at 28 or more weeks gestation, plus infant deaths occurring up to 6 days after birth in an area. Deaths are restricted to those that can be linked to a birth certificate of a NYC resident mother and are mapped to the mother's usual residence at birth. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
11,Neonatal Death,Number,"<p>Number of deaths occurring at less than 28 days of age in an area. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here.</a>&nbsp;Neonatal deaths are restricted to those that can be linked to a birth certificate of a NYC resident mother and are mapped to the mother's usual residence at birth.</p>",New York City Bureau of Vital Statistics
1,Preterm Birth,Number,"<p>Number of live, singleton births occurring at less than 37 weeks gestation among residents of an area. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
3,Very Preterm Birth,Number,"<p>Number of live, singleton births occurring at less than 32 weeks gestation among residents of an area. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
5,Very Low Birthweight,Number,"<p>Number of live, singleton births with a birthweight less than 1,500 grams (3 lbs 5 oz) among residents of an area. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
7,Low Birthweight at Full Term,Number,"<p>Number of live, singleton, term births with a birthweight less than 2,500 grams (5 lbs, 8 oz) among residents of an area. Term births are those with a gestational age of 37 weeks or more. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
18,"Sex Ratio ",Male:Female Births,"<p>Number of male births divided by the number of female births among resident mothers of the area. Births are restricted to singletons with a gestational age of 37 weeks or more. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
8,Low Birthweight at Full Term,Percent,"<p>Number of live, singleton, term births with a birthweight less than 2,500 grams (5 lbs 8 oz) among residents of an area, divided by the total number of live, singleton, term births with nonmissing birthweight among residents of the area; expressed as percent. All births are restricted to those with a gestational age of 37 weeks or more. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
6,Very Low Birthweight,Percent,"<p>Number of live, singleton births with a birthweight less than 1,500 grams (3 lbs 5 oz) among residents of an area, divided by the number of live, singleton births with nonmissing birthweight among residents of the area; expressed as percent. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
4,Very Preterm Birth,Percent,"<p>Number of live, singleton births occurring at less than 32 weeks gestation among residents of an area, divided by the number of live, singleton births with nonmissing gestational age among residents of the area; expressed as percent. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
2,Preterm Birth,Percent,"<p>Number of live, singleton births occurring at less than 37 weeks gestation among residents of an area, divided by the number of live, singleton births with nonmissing gestational age among residents of the area; expressed as percent. For more information about this measure, <a href=""http://www1.nyc.gov/assets/doh/downloads/pdf/tracking/vital-stats-definitions.pdf"" target=""_blank""> click here. </a></p>",New York City Bureau of Vital Statistics
47,Adults Reporting Secondhand Smoke at Home,Percent,"<p>Estimated number of adults in an area exposed to second-hand smoke at home, divided by all adults in the area; expressed as percent.</p>
<p>&nbsp;</p>
<p><span>Adults who are exposed to second-hand smoke all or most of the time in their homes are considered to be exposed to second-hand smoke at home.&nbsp;</span></p>",New York City Community Health Survey (CHS)
45,Adults Reporting Rats or Mice outside Their Building,Percent,"Estimated number of adults reporting mice or rats outside their building in the past 90 days, divided by the number of adults in the area; expressed as percent.",New York City Community Health Survey (CHS)
41,Adults Reporting Cockroaches in the Home,Percent,"Estimated number of respondents in an area that reported cockroaches in the past 30 days, divided by the number of respondents in the area; expressed as percent.",New York City Community Health Survey (CHS)
27,Pre-1950 Homes,Percent,"Number of housing units built before 1950, divided by all housing units; expressed as percent.    ",United States Census
29,Owner-Occupied Homes,Percent,"Estimated number of housing units occupied by the owner, divided by all occupied housing units; expressed as percent.    ",American Community Survey
24,Foreign-Born,Percent,"<p>Estimated number of people born outside the US or its territories (which includes Puerto Rico), divided by the total population; expressed as a percent.</p>",American Community Survey
86,Homes with 3 or More Maintenance Deficiencies,Percent,"Estimated number of households in an area reporting three or more maintenance deficiencies (heating equipment breakdown, additional heating required, rodent infestation, cracks/holes in the walls, ceilings or floors, broken plaster/peeling paint larger than 8½ x 11 inches, toilet breakdowns, or water leaks from outside the unit), divided by the number of households in the area; expressed as percent.",New York City Housing and Vacancy Survey (HVS)
78,Pre-1960 Homes with Peeling Paint,Percent,"Estimated number of households in an area that were built before 1960 and had peeling paint, divided by the total number of households in the area; expressed as percent.",New York City Housing and Vacancy Survey (HVS)
363,Adults with Asthma in the Past 12 Months,Percent,"Estimated number of adults aged 18 years and older who reported medically diagnosed asthma with symptoms in the last 12 months, divided by all adults; expressed as percent.",New York City Community Health Survey (CHS)
94,Homes with Mice or Rats in the Building,Percent,"Estimated number of households in an area that reported mice or rats in their building in the past 90 days, divided by the number of households in the area; expressed as percent.",New York City Housing and Vacancy Survey (HVS)
90,Homes Using Supplemental Heat,Percent,"Estimated number of households in an area that needed to use a secondary source of heat in addition to their primary source, divided by the number of households in the area; expressed as percent.",New York City Housing and Vacancy Survey (HVS)
88,Homes near Structures Rated Good or Excellent,Percent,"Estimated number of households in an area that rated their neighborhood structures as good or excellent, divided by the number of households in the area; expressed as percent.",New York City Housing and Vacancy Survey (HVS)
151,Homes in 1 or 2 Family Buildings,Percent,"Number of residential units in one or two family homes as identified by NYC Department of City Planning, divided by all residential units; expressed as a percent.",New York City Primary Land Use Tax Lot Output (PLUTO™ ) Property Characteristic Data
221,Poverty,Percent,"Estimated number of people for whom poverty status is determined, whose annual income falls below 100% of the federal poverty level, divided by the number of people for whom poverty status is determined; expressed as percent.",American Community Survey
245,Homes with Cockroaches,Percent,"Estimated number of households in an area that reported seeing at least one cockroach daily over the last month, divided by the number of households in the area; expressed as percent.",New York City Housing and Vacancy Survey (HVS)
398,Adults Reporting Bed Bugs in their Home,Percent,"Estimated number of adults reporting a problem with bed bugs that required an exterminator, in the past 12 months, divided by the number of adults, expressed as a percent",New York City Community Health Survey (CHS)
309,Adults Reporting Secondhand Smoke at Work,Percent,"<p>Estimated number of adults in an area exposed to second-hand smoke at work, divided by all adults in the area; expressed as percent.</p>
<p>&nbsp;</p>
<p>Adults who are exposed to second-hand smoke all or most of the time at work are considered to be exposed to second-hand smoke at work.&nbsp;</p>",New York City Community Health Survey (CHS)
311,Cigarette Smoking among Youths,Percent,"Estimated number of high school students who smoked cigarettes on one or more of the past 30 days, divided by total number of high school students; expressed as a percent.",New York City Youth Risk Behavioral Survey
307,Cigarette Smoking among Adults,Percent,"Estimated number of adults in an area who report current, active smoking, divided by all adults in the area; expressed as percent.


",New York City Community Health Survey (CHS)
467,Adults Reporting Heavy Drinking,Percent,"Estimated number of adult males who reported having more  than 2 alcoholic beverages per day and adult woman having more than 1 drink per day, divided by all adults in the area; expressed as percent. Adults are age 18 years and older. ",New York City Community Health Survey (CHS)
470,Adults Who Binge Drink,Percent,"Estimated number of adults who reported having 5 or more alcoholic beverages on one occasion in the past 30 days, divided by all adults in the area; expressed as an unadjusted percent. Note that as of 2011, quantity for women was changed to 4 or more beverages. ",New York City Community Health Survey (CHS)
292,Adults without a Smoke-Free Home Policy,Percent,"Estimated number of adults in an area without a policy that prohibits smoking anywhere in the home, divided by all adults in the area; expressed as percent.
",New York City Community Health Survey (CHS)
500,Adults Reporting Exercise in the Past 30 Days,Percent,"Estimated number of adults who reported participating in any physical activities or exercises, such as running, calisthenics, golf, gardening, or walking for exercise, in the past 30 days, divided by all adults in the area; expressed as a percent.",New York City Community Health Survey (CHS)
498,Monthly Bicycle Use,Percent,"Estimated number of adults who reported having ridden a bicycle in NYC at least once a month in the past year, divided by all adults in the area; expressed as a percent.",New York City Community Health Survey (CHS)
496,Adults Who Walk or Bike for Transportation,Percent,"Estimated number of adults who reported having walked or bicycled more than 10 blocks to get to and from work, school, public transportation or to do errands, in the past 30 days, divided by all adults in the area; expressed as a percent.",New York City Community Health Survey (CHS)
484,Underage Drinking,Percent,"Estimated number of public high school students who reported having at least one alcoholic beverages on one or more of the past 30 days, divided by the total number of public high school students; expressed as a percent.",New York City Youth Risk Behavioral Survey
482,Youth Who Binge Drink,Percent,"Estimated number of public high school students who reported having 5 or more alcoholic beverages in a row on one or more of the past 30 days, divided by the total number of public high school students; expressed as a percent. ",New York City Youth Risk Behavioral Survey
508,Obese Youth,Percent,"Estimated number of high school students classified as obese; based on the Body Mass Index (BMI) calculated from self-reported weight and height, expressed as a percent. A BMI of 30 or greater is classified as obese.",New York City Youth Risk Behavioral Survey
506,Obese Adults,Percent,"Estimated number of adults classified as obese; based on the Body Mass Index (BMI) calculated from self-reported weight and height, expressed as a percent. A BMI of 30 or greater is classified as obese.",New York City Community Health Survey (CHS)
504,Overweight or Obese Youth,Percent,"Estimated number of high school students classified as overweight or obese; based on the Body Mass Index (BMI) calculated from self-reported weight and height, expressed as a percent. A BMI between 25 and 29.9 is classified as overweight, and a BMI of 30 or greater is classified as obese.",New York City Youth Risk Behavioral Survey
502,Overweight or Obese Adults,Percent,"Estimated number of adults classified as overweight or obese; based on the Body Mass Index (BMI) calculated from self-reported weight and height, expressed as a percent. A BMI between 25 and 29.9 is classified as overweight, and a BMI of 30 or greater is classified as obese.",New York City Community Health Survey (CHS)
510,Restaurants with A Grades,Percent,"Percent of currently operating restaurants with an ""A"" grade in the window, divided by all currently operating restaurants, including those with a ""Grade Pending"" in the window. ",New York City Food Safety and Community Sanitation Tracking System
625,Adults Reporting Mold in the Home,Percent,"Estimated number of adults reporting damp spots or mold in at least one room in their building, excluding the bathroom, in the past 30 days, expressed as a percent.",New York City Community Health Survey (CHS)
609,Adult Consumption of 1 or More Sugary Drinks Per Day,Percent,"<p>Estimated number of adults who, on average reported having consumed one or more sugary drinks per day, divided by all adults in the area; expressed as a percent. Sugary drinks include soda, sweetened iced tea, sports drinks, fruit punch, and other fruit flavored drinks. (One drink equals 12 ounces). Diet soda, sugar free drinks, 100% juice, and seltzer are not included.</p>",New York City Community Health Survey (CHS)
610,Youth Consumption of 1 or More Sugary Drinks Per Day,Percent,"<p>Estimated number of high school students who reported having consumed one or more sugary drinks per day; expressed as a percent. Sugary drinks include soda, sweetened iced tea, sports drinks, fruit punch, and other fruit flavored drinks. (One drink equals 12 ounces). Diet soda, sugar free drinks, 100% juice, and seltzer are not included.</p>",New York City Youth Risk Behavioral Survey
636,Adults Reporting Air Conditioning in the Home,Percent,"Estimated number of adults who reported having a functioning air conditioner in any room in their home, divided by the number of adults in the area; expressed as percent.",New York City Community Health Survey (CHS)
634,Adults Reporting Mice in the Home,Percent,"Estimated number of adults reporting mice or rats inside their home in the past 30 days, divided by the number of adults in the area; expressed as percent.",New York City Community Health Survey (CHS)
637,Neighborhood Race/Ethnicity - Non Hispanic Black,Percent,"Neighborhoods are ranked according to the percent of people who consider themselves non-Hispanic blacks. Rankings are divided into 3 approximately equal groupings of low, medium and high population density. ",United States Census
672,"Adults with Health Insurance ",Percent,"Estimated number of adults who reported having any kind of health insurance coverage, including private health insurance, prepaid plans such as H-M-Os or government plans such as Medicare or Medicaid; expressed as percent.",New York City Community Health Survey (CHS)
687,Area Located within Hurricane Evacuation Zones 1-6,Percent,Percent of UHF neighborhood located within 2013 OEM hurricane evacuation zones 1-6,New York City Office of Emergency Management
679,Disruptive Noise Exposure,Percent,"Estimated number of adults who reported experiencing noise disruption three or more times per week, divided by the number of adults in the area; expressed as percent. Disruptive noise exposure is any ambient noise from outside the home that disrupts activities - such as watching television, listening to the radio, having a conversation, or sleeping - of the person who hears it.  ",New York City Community Health Survey (CHS)
689,Neighborhood Poverty (ACS),Percent,"Neighborhood poverty based on UHF defined as percent of residents with incomes below 100% of the Federal Poverty Level, per American Community Survey, 2008-2012.",American Community Survey
690,Vegetative Cover,Percent,"<p>Spatial information classifying ground cover is used to calculate a percentage of each geographic area that is covered in vegetation. See <a href=""https://doi.org/10.1117/1.JRS.6.063567"" target=""_blank"">this paper</a> for classification methods discussion.</p>","University of Vermont remote sensing LiDAR data, assessed using methodology described in: MacFaden, S.W., O’Neil-Dunne, J.P.M., Royer, A.R., Lu, J.W.T., & Rundle, A.G. (2012). High-resolution tree canopy mapping for New York City using LiDAR and object-based image analysis. Journal of Applied Remote Sensing, 6(1)."
691,Serious psychological distress,Percent,"Estimated number of adults aged 18 years and older reporting serious psychological distress, divided by all adults; expressed as percent.",New York City Community Health Survey (CHS)
692,Adults with an Independent Living Difficulty,Percent,Percent of adults aged 18 and older with an independent living difficulty,American Community Survey
693,Older Adults Living Alone,Percent,Percent of people aged 65 and older living alone,American Community Survey
739,Walk for Transportation in the Past 7 Days,Percent,"Estimated number of adults who reported having walked at least 10 minutes to get to and from places, divided by all adults in the area; expressed as a percent.",New York City Community Health Survey (CHS)
725,Adults with High Cholesterol,Percent,"Estimated number of adults aged 18 years and older who have ever been told by a doctor, nurse or other health professional that their cholesterol is high, divided by all adults; expressed as percent.",New York City Community Health Survey (CHS)
722,Adults with High Blood Pressure,Percent,"Estimated number of adults aged 18 years and older who have ever been told by a doctor, nurse or other health professional that they have high blood pressure, divided by all adults; expressed as percent.",New York City Community Health Survey (CHS)
719,Adults with Diabetes,Percent,"Estimated number of adults aged 18 years and older who have ever been told by a doctor, nurse or other health professional that they have diabetes, divided by all adults; expressed as percent.",New York City Community Health Survey (CHS)
706,Adults 65+ Reporting Air Conditioning in the Home,Percent,"Estimated number of adults age 65 years or older who reported having a functioning air conditioner in any room in their home, divided by the number of adults aged 65 years or older in the area; expressed as percent",New York City Community Health Survey (CHS)
708,Tree Canopy Cover,Percent,"<p>Tree canopy cover represents a 'top down' mapping perspective in which tree canopy over-hanging city features (such as sidewalks) is measured. The percent is calculated by dividing the area of tree canopy in km2 within the UHF neighborhood by the total land area (excluding inland water bodies). Higher percentages indicate greater tree canopy cover, with zero representing no tree canopy cover.</p>","The Built Environment & Health Project (BEH), Columbia University"
700,Adults with a Personal Doctor,Percent,"Estimated number of adults who reported having a personal doctor or health care provider, divided by all adults in the area; expressed as percent.

",New York City Community Health Survey (CHS)
790,Homes with Grab Bars in Bathroom (among older adult households),Percent,"Estimated number of homes with grab bars in the bathroom, among homes with adults aged 65 years or older, divided by the estimated number of households with adults aged 65 years or older; expressed as a percent. ",New York City Housing and Vacancy Survey (HVS)
741,Bike for Transportation in the Past 7 Days,Percent,"Estimated number of adults who reported having biked to get to and from places, divided by all adults in the area; expressed as a percent.",New York City Community Health Survey (CHS)
755,Children under 5 years old in Poverty,Percent,"Estimated number of children in a household whose annual income falls below twice the federal poverty level, divided by the number of children in households for whom poverty status is determined; expressed as percent.",American Community Survey
761,Homes with Working Carbon Monoxide Detector,Percent,"Estimated number of households in an area reporting a working carbon monoxide detector inside the home, divided by the number of households in the area; expressed as percent.",New York City Housing and Vacancy Survey (HVS)
759,Renter-Occupied Homes with No Maintenance Deficiencies,Percent,"Estimated number of renter-occupied households in an area reporting no maintenance deficiencies (heating equipment breakdown, additional heating required, rodent infestation, cracks/holes in the walls, ceilings or floors, broken plaster/peeling paint larger than 8½ x 11 inches, toilet breakdowns, or water leaks from outside the unit), divided by the number of renter-occupied households in the area; expressed as percent..",New York City Housing and Vacancy Survey (HVS)
1025,High School Graduation,Percent,"<p><span>Estimated number of people 25 years and over who have completed High School (Includes Equivalency), divided by the total number of people 25 years and over; expressed as percent.</span></p>",American Community Survey
984,School Absenteeism,Percent,"<p>The percent of NYC public school students, grades K to 5, who were chronically absent during the 2013-14 school year.</p>
<p>&nbsp;</p>
<p>Chronically absent is defined as missing 20 or more school days per year.</p>",New York City Department of Education
903,Adults Reporting Speeding in the Last 30 Days,Percent,"<p>Estimated percent of adult drivers&nbsp;(drove in the last 30 days)&nbsp;who responded &ldquo;often&rdquo;, &ldquo;sometimes&rdquo; or &ldquo;rarely&rdquo; to the question:</p>
<p>&nbsp;&ldquo;In the past 30 days, when you drove in New York City, how often did you drive 10 miles per hour or more over the posted speed limit?&rdquo;&nbsp;</p>",New York City Community Health Survey (CHS)
901,Adults Reporting Messaging While Driving in the Last 30 Days,Percent,"<p>Estimated percent of adult drivers&nbsp;(drove in the last 30 days) who responded &ldquo;often&rdquo;, &ldquo;sometimes&rdquo; or &ldquo;rarely&rdquo; to the question:</p>
<p>&ldquo;In the past 30 days, when you drove in New York City, how often have you read or sent a text message or email while you were driving?&rdquo;</p>",New York City Community Health Survey (CHS)
899,Adults Reporting Driving in the Last 30 Days,Percent,<p>Estimated percent of adults who reported driving in NYC in the last 30 days<span>; expressed as a percent</span>.</p>,New York City Community Health Survey (CHS)
1032,Unemployment,Percent,"<p>Estimated number of people in the civilian labor force (16 years and older) who are unemployed,&nbsp;<span>divided by the total civilian labor force; expressed as percent.</span></p>
<p>&nbsp;</p>
<p>All civilians 16 years old and over are classified as unemployed if they (1) were neither ""at work"" nor ""with a job but not at work"" during the reference week, and (2) were looking for work during the last 4 weeks, and (3) were available to accept a job. Also included as unemployed are civilians who did not work at all during the reference week, were waiting to be called back to a job from which they had been laid off, and were available for work except for temporary illness.</p>
<p>&nbsp;</p>",American Community Survey
1029,Rent Burdened Households,Percent,"<p>Estimated number of renter households whose gross rent (rent plus electricity and heating fuel costs) equals at least 30 percent of their income,&nbsp;divided by the total number of households; expressed as percent.</p>",American Community Survey
1027,Limited English,Percent,"<p><span>Estimated number of people who do not speak English at home and are not English Proficent,&nbsp;divided by the total population; expressed as percent.</span></p>",American Community Survey
1040,Youth Asthma in the Past 12 Months,Percent,"<p>Estimated number of public high school students who reported having&nbsp;an asthma attack in the past 12 months<span>, divided by the total number of public high school students; expressed as a percent.</span></p>",New York City Youth Risk Behavioral Survey
1227,Walking Distance to a Subway Station,Percent,<p>Walking distance to a subway station is defined as 1/4-mile or less. Distance was measured between the centroid of 2010 Census blocks and the nearest station entrance. Census block populations within areas defined as walking distance were summed across the neighborhood and divided by total neighborhood population.</p>,Metropolitan Transportation Authority ; United States Census
813,Tetralogy of Fallot,Prevalence,"<p><span>Number of live births diagnosed with Tetralogy of Fallot and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</span></p>",New York State Congenital Malformations Registry (CMR)
817,Down Syndrome / Trisomy 21 (Maternal Age 35 Yrs and Over),Prevalence,"<p><span>Number of live births diagnosed with Down Syndrome / Trisomy 21 to women 35 years or older and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</span></p>",New York State Congenital Malformations Registry (CMR)
819,Down Syndrome / Trisomy 21 (Maternal Age < 35 Yrs),Prevalence,"<p><span>Number of live births diagnosed with Down Syndrome / Trisomy 21 to women less than 35 years old and reported to the NYS CMR over the 3 year period, divided by the number of live births over the same period; expressed per 10,000.</span></p>",New York State Congenital Malformations Registry (CMR)
